,AAPL,AMZN,BAC,CVX,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,WMT,XOM
count,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0
mean,0.0006252817481255967,0.0002652867207352681,0.0005343148024555381,0.0006382533442478156,0.0010192321374135876,0.000325962485473575,0.0008075795932814771,0.0003806515088189639,0.0006506168797275214,0.0006640575245805652,0.002130151114063647,-0.00011513890752421391,0.0001758158115187743,0.000679399519558362,0.0010088768263657505
std,0.017639507952617345,0.022275827804355667,0.01717759621689925,0.01603173841911638,0.019635913756156077,0.01053022697990614,0.015270281900666215,0.010033363619190095,0.02782667461515523,0.016263317781444485,0.03287767691562012,0.015876697804185495,0.010876250060137415,0.013221305293928353,0.017134748039508447
min,-0.09701349313379018,-0.15139791287665294,-0.11724546514030931,-0.0858240889197669,-0.09992410100868955,-0.07895281436793397,-0.07778683460814495,-0.0721684421233099,-0.30639057815035836,-0.08029545476398928,-0.18594603665397563,-0.06954275150263382,-0.06434863391498345,-0.12076469377510593,-0.08213526323412572
25%,-0.0080777836033277,-0.011357356689743867,-0.009057148636385872,-0.007773751459267388,-0.009514359692766905,-0.005226271768141855,-0.007294167564171912,-0.0052660861588273026,-0.011602496197326295,-0.007620294490314162,-0.016207447976086378,-0.009371748642833931,-0.005656291415177972,-0.005660837305979604,-0.008965598704313753
50%,0.0010952492494840601,0.0004177776296910137,0.0003768928335541169,0.0013470380862022114,0.0016272266042002888,0.0004031589567810894,0.0012027094111862415,0.0006915877926995831,0.0007486747993638544,0.0007064731134312565,0.002900135874179596,-0.0005499421473920522,0.000611659319870032,0.0010000997107440864,0.0013377125818866055
75%,0.009986694626128447,0.012504139306510353,0.010032443815564885,0.009490062473953243,0.011459865531069632,0.005902030846883108,0.009258257286066532,0.006028747927386033,0.0138330669045548,0.009926127944819393,0.02145622263635865,0.008488608621597827,0.006578798168987353,0.007656659656118281,0.0115014477692146
max,0.14261752825727164,0.1269489157684572,0.08092385846601217,0.0852923426871832,0.09734782084196751,0.06008997499124939,0.1092537170528575,0.046167860304529185,0.20930762824058982,0.09652468154921455,0.2180878827528389,0.10305437736841412,0.04181267241721929,0.09120027209359872,0.06214127711947894
