method,K,eps,min_samples,silhouette,stability,generalizability
kmeans,2.0,,,0.5485811233520508,0.9942276421278875,0.46828851103782654
gmm,2.0,,,0.5513224005699158,0.9826390236861149,0.4733597934246063
spectral_pca,2.0,,,0.20467729543475074,0.9590216789995912,0.21666160797041276
agg_ward,2.0,,,0.5583174824714661,0.6731016788570463,0.48075732588768005
agg_average,2.0,,,0.5702167749404907,0.8644998508415185,0.5172229409217834
agg_complete,2.0,,,0.4867553114891052,0.5354986317482461,0.44397324323654175
dbscan,,0.3,15.0,0.29233789443969727,0.9288085348182894,0.3436622619628906
