chapter_id,hard_label,certainty
0,1,0.9999999999792664
1,1,0.9999999342086049
2,2,1.0
3,1,0.9999999995045812
4,2,0.9999999970664533
5,2,0.9999999986300452
6,2,0.999999952680356
7,1,0.9992086610448555
8,2,0.9999999618111567
9,2,0.999999670665642
10,1,0.9984551856315829
11,1,0.9984365236483801
12,2,1.0
13,2,1.0
14,2,0.9792753930921282
15,1,0.9999979009118936
16,2,0.99999999999919
17,2,0.9999195791533789
18,2,1.0
19,2,0.9246331696892998
20,2,0.9999999998418758
21,2,0.9993800861535601
22,2,0.9999999999997158
23,2,1.0
24,2,0.9999999999999716
25,2,1.0
26,1,0.9965923305113715
27,2,1.0
28,1,0.9999998874342771
29,1,0.9999999671020282
30,1,0.995749832203842
31,1,0.9999998921848516
32,1,0.999999999999531
33,1,0.9999999982028669
34,2,0.9993930378592071
35,1,0.9999999999998153
36,2,1.0
37,2,0.9999999847896676
38,2,0.9999999968821385
39,2,0.9999999995199431
40,1,0.9983773306077993
41,1,0.9999999999982947
42,1,0.9986130550827499
43,1,0.9999999999978542
44,1,1.0
45,1,0.9999999999597691
46,2,1.0
47,1,1.0
48,1,0.9999999999431424
49,1,0.9999853227421277
50,2,1.0
51,2,1.0
52,2,0.9999999999999716
53,2,0.7192488122401836
54,2,1.0
55,2,1.0
56,2,1.0
57,1,0.9999994672810855
58,2,1.0
59,2,1.0
60,2,1.0
61,2,0.9999909639543862
62,1,0.9999962239258862
63,2,0.9999999993664517
64,2,1.0
65,1,0.9995818592640964
66,2,0.9999999996473576
67,2,0.9999989259674263
68,2,0.992560263546321
69,2,0.6840659410437777
70,1,0.9999999999202771
71,1,0.9999999999959073
72,2,1.0
73,2,0.9999756816221719
74,2,1.0
75,1,0.9999998692819304
76,1,1.0
77,2,1.0
78,2,0.999825508585774
79,1,1.0
80,1,0.9999999949365304
81,1,0.9841827761079647
82,1,0.9999916626778814
83,2,0.9966158722662334
84,2,0.9999999967423179
85,2,0.9999999084794708
86,1,0.9864136317377347
87,2,1.0
88,1,0.8184246197295674
89,2,1.0
90,2,1.0
91,2,1.0
92,2,1.0
93,2,1.0
94,2,0.9999983671682856
95,2,0.9996960425081415
96,2,0.9993792486926089
97,2,0.9999999999994316
98,2,0.9999999999998579
99,2,0.9999999999928377
100,2,0.99722347607794
101,2,1.0
102,2,1.0
103,2,1.0
104,2,1.0
105,1,0.9999999999348148
106,2,1.0
107,2,0.9999985010798874
