hard_label,certainty
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9999999966616997
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9999999999486135
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9993032719837143
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
3,0.9862047091258872
2,1.0
2,1.0
2,0.999999943534023
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9999999999997726
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
0,0.9887061433589609
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9999999999915872
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
3,0.7560997997651935
2,1.0
2,0.999999998908379
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.999999999998181
2,0.9999999999984084
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
3,0.9999897773549957
2,0.9999999999931788
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,0.9999950010649064
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
2,1.0
1,0.9915309836310581
3,1.0
3,1.0
1,0.9864478465402265
2,0.917880123046176
3,0.9999999999995453
3,0.9999999106808031
3,0.9966174282857174
3,0.9999438627413026
3,0.9999997196173747
3,1.0
3,1.0
3,1.0
3,1.0
0,0.9998392230275299
2,0.9998137519125888
2,0.9999998740872876
2,0.9999824742784403
2,0.9864308506149193
1,0.9999999857989224
0,0.9999994595404228
2,0.9994860280814449
2,0.9999999999943157
0,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
1,0.9999999999886313
3,1.0
3,1.0
3,1.0
0,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,0.9999999995575308
3,1.0
1,0.9999999999336069
3,1.0
1,0.9999826798361229
1,1.0
1,0.9999999999904503
1,0.9999999999997726
3,1.0
3,1.0
0,0.9999999933468189
3,0.9999999999968168
0,0.9983143140571371
1,0.9999999047913707
3,1.0
1,0.9999999999995453
3,1.0
3,0.9999999999997726
3,1.0
3,1.0
3,1.0
3,0.9999915021864578
3,1.0
1,0.9999999968067641
1,0.9725659513353702
3,1.0
3,1.0
3,1.0
3,0.9999999995495727
2,0.9999999937072062
3,1.0
3,1.0
3,0.9999999992878656
0,0.9999955705577906
3,1.0
3,1.0
3,0.9999999957276486
2,0.9997238025240414
2,1.0
3,1.0
2,0.9435118557825016
3,0.9999997357297511
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
1,0.9999536563032216
3,1.0
3,0.9999999999997726
3,1.0
3,1.0
3,1.0
3,0.9999898041093283
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,0.9999999999993179
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
