cluster_0,cluster_1,cluster_2,cluster_3
1.338742294503845e-83,0.9999999999792664,2.0728915024937766e-11,7.103489281466554e-21
2.3069654937586067e-52,0.9999999342086049,6.579139887298776e-08,1.6845301275272018e-16
3.5558820525224254e-52,1.6671596640530843e-16,1.0,4.7880807495085586e-42
1.1899265886517125e-130,0.9999999995045812,4.954254752253316e-10,1.7442939214403214e-17
8.087851984534348e-245,2.9335511076377168e-09,0.9999999970664533,1.0437166436501389e-27
1.3699524943862362e-09,1.0142239244147308e-31,0.9999999986300452,4.155932847390184e-36
1.0937248852543393e-62,4.731947471343922e-08,0.999999952680356,1.7316492934350092e-13
3.4525829035227925e-27,0.9992086610448555,0.0007913389550802454,6.222918274781251e-14
1.1523245661721478e-35,3.818883927354936e-08,0.9999999618111567,2.167094307748351e-21
4.700878013002e-311,1.0953729735862878e-07,0.999999670665642,2.1979706446024868e-07
8.664493727809696e-50,0.9984551856315829,0.0015448134264682187,9.419464576704069e-10
1.905952753140425e-44,0.9984365236483801,0.0015634763516157951,3.0152372391691477e-26
6.123830515354168e-51,1.0553840019808717e-25,1.0,1.2131672240287897e-35
4.068342482682893e-60,3.455765471451786e-18,1.0,8.917383611821986e-41
1.1757137768270937e-162,0.020724606907872943,0.9792753930921282,1.2114275486872422e-17
2.504076702577253e-96,0.9999979009118936,2.0990881122159875e-06,6.318971032263296e-20
2.796856742070644e-57,8.100550840803448e-13,0.99999999999919,5.5703706855590706e-40
1.1261559731987571e-73,8.04208466206793e-05,0.9999195791533789,3.684326717052444e-36
5.144452672950316e-30,6.282276152243945e-18,1.0,1.5631006329710957e-39
1.4540486529842289e-99,0.07536683031070514,0.9246331696892998,3.991679969496082e-21
2.9054261878723306e-57,1.5812537141595408e-10,0.9999999998418758,1.7282433632496906e-25
6.779282954718288e-105,0.0006199138464431632,0.9993800861535601,3.650508577602565e-23
3.832960288161128e-24,2.8268491423155637e-13,0.9999999999997158,5.877619431747254e-32
1.1045133112209201e-84,1.0745246330370264e-26,1.0,1.0378262273240158e-26
0.0,3.2645370150950363e-14,0.9999999999999716,8.377338364257671e-40
4.28708981082061e-40,4.805885017038427e-18,1.0,3.604729883572112e-39
3.798645216309046e-83,0.9965923305113715,0.0034076694886262574,7.999302792570808e-28
7.766623027763401e-226,2.654599750447445e-28,1.0,7.709394687825124e-38
3.958424934779244e-187,0.9999998874342771,1.1249313588901293e-07,7.25936694812317e-11
0.0,0.9999999671020282,3.2897646983074784e-08,3.2026557966784177e-13
1.01159673348701e-248,0.995749832203842,0.004250167796154138,2.286269525868719e-28
1.2475975740577462e-98,0.9999998921848516,1.0781515285940754e-07,9.459404213931976e-17
1.1748328122911061e-266,0.999999999999531,1.9284046064918217e-13,2.796656529321295e-13
2.0310086175771948e-189,0.9999999982028669,1.7971374017151659e-09,1.4571641287861e-37
1.0666422247957712e-52,0.0006069621407897672,0.9993930378592071,2.7378870991785598e-18
6.131741295192584e-77,0.9999999999998153,1.883822946267706e-13,1.0800660915237898e-22
5.583935239179782e-52,1.7805973759256527e-18,1.0,1.7833389876341357e-60
3.169484571151452e-64,1.5210325988201837e-08,0.9999999847896676,2.2092030513513517e-54
3.1211469004679423e-57,3.1178644586030076e-09,0.9999999968821385,1.0253249760952113e-37
2.45060542638003e-73,4.800573674746349e-10,0.9999999995199431,4.485625980927007e-36
9.104780785944436e-62,0.9983773306077993,0.0016226693922009492,2.0328889872759826e-29
2.739996325387286e-106,0.9999999999982947,1.7005099607412478e-12,3.1968260643262665e-32
1.222520288998862e-41,0.9986130550827499,0.0013869449172499708,9.155505156149776e-23
1.312578508102339e-68,0.9999999999978542,2.1490588800509517e-12,3.643910723067728e-18
9.690008403099411e-194,1.0,8.469516371135158e-18,1.233920538994779e-17
8.709228822714811e-123,0.9999999999597691,4.0234956071974275e-11,8.342213759838302e-27
6.3049722038926e-47,2.2306268095306697e-16,1.0,3.150925958771249e-61
1.7148529169118218e-142,1.0,2.0290731941417814e-19,2.300331012554477e-18
9.749863878468231e-104,0.9999999999431424,5.686374942756162e-11,1.7008376709015103e-26
6.189409677330137e-85,0.9999853227421277,1.4677257873493127e-05,6.056424501594618e-27
5.453685683933389e-56,7.613990196399225e-17,1.0,6.24013735795609e-96
5.507025521797486e-74,6.4646121391781345e-25,1.0,1.2611530536139296e-97
2.28526388712332e-78,2.4226881285957198e-14,0.9999999999999716,8.704911580782596e-58
1.7059150581419768e-190,0.280751187759814,0.7192488122401836,1.2570959458346528e-35
4.163204729464808e-43,4.3058182723120554e-38,1.0,7.377577257074424e-77
2.6759986061025776e-23,6.826247537563449e-21,1.0,1.6139448405020816e-50
1.6689830149167481e-52,3.8870147944628484e-29,1.0,3.451335588951893e-97
1.4563431817169907e-100,0.9999994672810855,5.327189206128312e-07,6.063919176458957e-31
2.497803007e-315,8.825959295082265e-18,1.0,1.2364116642201723e-43
2.87465215733163e-107,2.4689693548688116e-36,1.0,1.0436548709304582e-65
6.355594779598776e-21,1.7807447723216858e-18,1.0,2.4114557151918375e-49
2.0726631622398433e-30,9.036045613737989e-06,0.9999909639543862,2.060376358684042e-24
5.891804671250762e-75,0.9999962239258862,3.776074117285051e-06,1.8005041195621e-39
3.405329626821404e-41,6.335544631338981e-10,0.9999999993664517,7.700142449638908e-16
7.303426599689147e-59,7.218981599086353e-29,1.0,1.3329061459359284e-47
2.881888165909628e-45,0.9995818592640964,0.0004181407358984058,1.3897979961611624e-27
1.0291858564997e-50,3.526413199772751e-10,0.9999999996473576,1.5457185773858197e-38
1.1340553494410076e-67,1.0740325779190607e-06,0.9999989259674263,6.544285474994153e-42
3.5799772890498e-183,0.007439736453681584,0.992560263546321,7.379716958046545e-67
2.6741689754293846e-54,0.3159340589562224,0.6840659410437777,1.8155476723654286e-28
4.355813763164068e-220,0.9999999999202771,7.972465711134397e-11,1.1569106462350106e-40
6.8899959170499705e-68,0.9999999999959073,4.09143455214837e-12,2.5218853102881526e-38
5.005616139306405e-48,2.268068484096561e-19,1.0,5.553345385075626e-64
6.287783647554342e-56,2.431837782645246e-05,0.9999756816221719,1.5661177637007233e-40
3.415822518494667e-48,7.136541736171834e-22,1.0,3.317083549077817e-54
5.3581683582196364e-77,0.9999998692819304,1.307180762501697e-07,5.373731650706934e-38
1.791719026574466e-230,1.0,2.4767359576817828e-15,8.169341242940262e-43
2.963912755200436e-37,3.117852285997372e-38,1.0,1.217413203856381e-29
1.8890811415391413e-91,0.00017449141423196688,0.999825508585774,1.252449723448557e-32
8.317044654264166e-142,1.0,5.726910891124421e-15,1.9640476584177076e-34
1.4042301522130488e-68,0.9999999949365304,5.063470977073111e-09,1.5804272622572274e-18
1.669255257519123e-62,0.9841827761079647,0.015817223892039028,7.261861915743196e-33
1.0283636472081282e-198,0.9999916626778814,8.337322124501877e-06,8.074077130477603e-32
1.8749319285613033e-70,0.0033841277337602884,0.9966158722662334,6.560926730896412e-38
1.2138637514207154e-44,3.2576863745502907e-09,0.9999999967423179,1.0235868964093805e-53
1.4405162450354288e-58,9.1520526856383e-08,0.9999999084794708,4.633757518472681e-40
1.686521808225453e-54,0.9864136317377347,0.013586368262271597,4.919879123019582e-16
1.1254814997955881e-126,5.067890819722591e-20,1.0,1.3020948341337628e-63
1.2456963577215784e-40,0.8184246197295674,0.18157538027043468,4.496315610012704e-20
4.8691766580252e-24,3.95490734805491e-22,1.0,1.2427494822720355e-41
1.987006372499337e-42,1.6988766048628866e-16,1.0,3.142210530592516e-28
1.0249147871089692e-29,2.7422020984437586e-19,1.0,3.312446051737879e-42
1.957809676382461e-77,1.0190075920189814e-27,1.0,4.147158955031893e-81
4.955126772694027e-104,1.1837203039855124e-20,1.0,2.5457190744757294e-42
4.286049474463489e-84,1.6328317078361304e-06,0.9999983671682856,1.3543732287509179e-46
6.03849499578945e-99,0.00030395749185387956,0.9996960425081415,1.3739427074574363e-29
2.7785026479200665e-53,0.0006207513073910258,0.9993792486926089,3.039347530538971e-24
4.774994723465254e-80,5.678948616844377e-13,0.9999999999994316,7.015520899870054e-36
1.1379245692790592e-43,1.4102915204144875e-13,0.9999999999998579,3.696859471857115e-63
4.236237780106756e-30,7.1586652720911325e-12,0.9999999999928377,1.1654698997582136e-58
3.2686497944001802e-68,0.0027765239220574143,0.99722347607794,4.0260705323550465e-38
6.29305685792604e-33,1.590013601230824e-31,1.0,1.1585734834398422e-52
8.071022815794972e-48,2.0677358518994582e-15,1.0,2.7163183983826123e-68
4.587703790591194e-56,1.0489923608201454e-25,1.0,5.4024590308811725e-65
5.781186540780604e-43,1.3852931188408073e-22,1.0,1.1218899026518886e-67
7.190852116020128e-135,0.9999999999348148,6.51892742631783e-11,9.253341780347803e-27
1.4908112196002711e-27,2.425562605575252e-37,1.0,1.283661336790947e-36
6.331971025620625e-64,1.4989201141789741e-06,0.9999985010798874,2.817056323631722e-21
5.3221024036708776e-135,0.9999999999999858,1.2461822259097423e-14,3.890204681321118e-20
2.5182418037194504e-33,2.934028190707518e-13,0.9999999999997016,6.576951870579169e-20
1.1970771072168874e-72,0.000587223273211396,0.999412776726787,5.226063021443534e-25
3.0884910959163736e-53,0.9991952372987389,0.0008047627012602708,4.7494478346833694e-23
2.023395397605705e-77,2.8184412697230852e-14,0.9999999999999716,2.3834752533728262e-73
0.0,0.9999999999991616,8.402555937948194e-13,2.4985508636499998e-17
1.1502914799432482e-47,1.1789892606941755e-08,0.9999999882101065,1.917464633372249e-61
1.3538510020198528e-32,2.517824663995497e-14,0.9999999999999716,5.533022417358981e-38
4.527969255490695e-55,1.3555998726988957e-09,0.9999999986443981,4.495529038440533e-36
3.0928917943666757e-52,2.134934801480172e-09,0.9999999978650607,1.810968305790516e-45
5.4122646918039884e-65,0.8874088446727937,0.11259115532720486,3.391237931826546e-30
2.005627968629388e-177,0.99999999672211,3.2778857857504694e-09,2.913903538540005e-47
2.1992530871175372e-101,2.1776796385812552e-38,1.0,1.4021535773151188e-70
7.033639091119867e-137,9.863424448136051e-05,0.9999013657555226,4.606043672074202e-63
7.395688022460442e-107,8.1400442087325e-10,0.9999999991860022,1.9808432338620748e-80
9.524094566698494e-189,1.0,1.3464736575834536e-22,6.3249065107390314e-43
4.336628239916826e-198,1.0,1.0487094146713608e-17,2.078089081178607e-49
1.5869712304651262e-139,0.9999999970546156,2.9453858403141305e-09,5.335604030000436e-61
8.24496112001829e-58,0.00016498276175581098,0.9998350172382507,1.8480424114569043e-42
9.306442518669546e-119,0.9999952133282499,4.786671747804053e-06,2.0616140341358363e-44
5.508393801517015e-65,0.08876528053125572,0.9112347194687479,2.3196520515417134e-41
9.940584376598066e-177,7.473953680511153e-10,0.9999999992526085,1.7696144805454568e-41
1.237034017466837e-55,1.94011963619546e-05,0.9999805988036428,1.978547792839561e-33
2.1627941697803788e-110,0.9999999997997975,2.0020092011105063e-10,1.0733128202902359e-65
3.7484853496707614e-16,5.147269626462944e-40,1.0,3.40465623791288e-24
1.1140480722672806e-51,1.3203560288768446e-15,1.0,2.08861811389062e-62
1.1400908642064112e-67,0.024746180642470965,0.9752538193575324,1.4148186291773904e-40
2.4906138708178145e-72,1.3010096244540577e-11,0.9999999999869829,8.784121923174343e-31
1.4874476221167651e-64,1.2640764267007486e-08,0.9999999873592316,2.699258389172719e-22
4.636750260772463e-192,0.9999999999986073,1.39454292946759e-12,1.9459530458178626e-28
4.2545683676079284e-43,3.3779999225396896e-31,1.0,1.6080837778473433e-31
1.6189592653777727e-47,2.078178865312315e-19,1.0,1.3665807617731993e-56
7.406296373857738e-71,1.2604196706061509e-21,1.0,2.2434534958924783e-59
5.090448224153123e-39,5.208795326462409e-72,1.0,3.1020875218162173e-69
3.4014458734815004e-81,2.3286086769938476e-35,1.0,1.5096035468892532e-76
1.689366076070389e-94,1.546361099920763e-16,1.0,4.802850842103996e-46
4.165180649754907e-86,2.4495489404201354e-14,0.9999999999999716,4.048165490789899e-29
8.683771644725759e-22,2.7094511777844906e-17,1.0,1.4488263218512256e-38
5.801124298510527e-78,4.471006849062786e-37,1.0,6.740710700105927e-49
6.813230108876207e-33,7.314703034815562e-27,1.0,5.338957026868053e-65
1.7688257501537214e-21,1.9870235148001188e-39,1.0,6.8750037453409426e-46
2.47313593288727e-20,7.546885848220198e-41,1.0,7.851261576300542e-60
3.802020026716736e-43,1.5242801973215683e-44,1.0,1.5803968054827086e-77
2.19364745218128e-97,0.9937194556327177,0.006280544367284077,6.053773402263037e-38
