cluster_0,cluster_1,cluster_2,cluster_3
1.3387422945058235e-83,0.9999999999792664,2.0728915024938354e-11,7.10348928146615e-21
2.3069654937591316e-52,0.9999999342086049,6.579139887298963e-08,1.6845301275272018e-16
3.5558820525235375e-52,1.667159664052895e-16,1.0,4.7880807495080144e-42
1.1899265886448133e-130,0.9999999995045812,4.954254752253386e-10,1.744293921440346e-17
8.08785198438815e-245,2.9335511076373834e-09,0.9999999970664533,1.043716643650198e-27
1.3699524943866256e-09,1.0142239244145868e-31,0.9999999986300452,4.155932847389829e-36
1.0937248852521945e-62,4.731947471343855e-08,0.999999952680356,1.7316492934350337e-13
3.4525829035235774e-27,0.9992086610448555,0.0007913389550802454,6.222918274781162e-14
1.1523245661718038e-35,3.8188839273548275e-08,0.9999999618111567,2.1670943077482278e-21
4.700878012877e-311,1.0953729735862567e-07,0.999999670665642,2.1979706446025493e-07
8.66449372781696e-50,0.9984551856315829,0.0015448134264681966,9.419464576704069e-10
1.9059527531401e-44,0.9984365236483801,0.0015634763516158175,3.015237239169062e-26
6.123830515336589e-51,1.0553840019807516e-25,1.0,1.2131672240287208e-35
4.0683424826727177e-60,3.4557654714514913e-18,1.0,8.917383611817171e-41
1.1757137768138608e-162,0.020724606907872943,0.9792753930921282,1.2114275486872249e-17
2.504076702575972e-96,0.9999979009118936,2.0990881122159875e-06,6.318971032263475e-20
2.796856742071439e-57,8.100550840802988e-13,0.99999999999919,5.570370685559229e-40
1.1261559731998454e-73,8.04208466206793e-05,0.9999195791533789,3.6843267170527056e-36
5.144452672947027e-30,6.282276152242963e-18,1.0,1.5631006329708513e-39
1.4540486529751372e-99,0.07536683031070622,0.9246331696892998,3.991679969495911e-21
2.905426187864898e-57,1.5812537141595408e-10,0.9999999998418758,1.728243363249838e-25
6.7792829546772476e-105,0.0006199138464431544,0.9993800861535601,3.650508577601995e-23
3.8329602881641785e-24,2.826849142315604e-13,0.9999999999997158,5.877619431747755e-32
1.1045133112186598e-84,1.0745246330368278e-26,1.0,1.0378262273240305e-26
0.0,3.2645370150949436e-14,0.9999999999999716,8.37733836425648e-40
4.287089810824996e-40,4.805885017038154e-18,1.0,3.6047298835726247e-39
3.798645216303647e-83,0.9965923305113715,0.0034076694886262093,7.999302792568194e-28
7.766623027617711e-226,2.654599750447445e-28,1.0,7.70939468782381e-38
3.9584249347378417e-187,0.9999998874342771,1.1249313588901133e-07,7.259366948122862e-11
0.0,0.9999999671020282,3.289764698307338e-08,3.202655796678327e-13
1.0115967334688392e-248,0.995749832203842,0.004250167796154018,2.2862695258679392e-28
1.247597574056186e-98,0.9999998921848516,1.07815152859406e-07,9.459404213931708e-17
1.1748328122712051e-266,0.999999999999531,1.9284046064917945e-13,2.796656529321335e-13
2.0310086175547973e-189,0.9999999982028669,1.7971374017151402e-09,1.4571641287862448e-37
1.0666422247958014e-52,0.0006069621407897413,0.9993930378592071,2.737887099178521e-18
6.131741295197812e-77,0.9999999999998153,1.8838229462677594e-13,1.0800660915238512e-22
5.583935239177877e-52,1.780597375925501e-18,1.0,1.783338987633781e-60
3.169484571146227e-64,1.5210325988201403e-08,0.9999999847896676,2.2092030513489028e-54
3.1211469004672326e-57,3.117864458603052e-09,0.9999999968821385,1.0253249760952259e-37
2.4506054263740403e-73,4.80057367474594e-10,0.9999999995199431,4.485625980927517e-36
9.1047807859478e-62,0.9983773306077993,0.0016226693922009722,2.032888987276127e-29
2.7399963253812116e-106,0.9999999999982947,1.7005099607412478e-12,3.1968260643262665e-32
1.222520289000165e-41,0.9986130550827499,0.0013869449172499904,9.155505156149776e-23
1.312578508103085e-68,0.9999999999978542,2.1490588800509214e-12,3.643910723067624e-18
9.69000840299145e-194,1.0,8.469516371135158e-18,1.2339205389948315e-17
8.70922882270293e-123,0.9999999999597691,4.0234956071974844e-11,8.342213759838183e-27
6.304972203894034e-47,2.2306268095304794e-16,1.0,3.15092595877116e-61
1.714852916911724e-142,1.0,2.0290731941417814e-19,2.3003310125543788e-18
9.749863878455207e-104,0.9999999999431424,5.686374942756e-11,1.7008376709014618e-26
6.189409677337877e-85,0.9999853227421277,1.4677257873493335e-05,6.0564245015944455e-27
5.453685683931529e-56,7.613990196399009e-17,1.0,6.240137357955913e-96
5.507025521781991e-74,6.464612139177951e-25,1.0,1.2611530536128183e-97
2.285263887125139e-78,2.4226881285956507e-14,0.9999999999999716,8.70491158078309e-58
1.705915058124716e-190,0.28075118775981,0.7192488122401836,1.2570959458347066e-35
4.1632047294641575e-43,4.3058182723117495e-38,1.0,7.377577257075682e-77
2.675998606103794e-23,6.82624753756306e-21,1.0,1.61394484050121e-50
1.6689830149169143e-52,3.887014794462572e-29,1.0,3.451335588949147e-97
1.4563431817143416e-100,0.9999994672810855,5.327189206128312e-07,6.063919176458957e-31
2.497803007e-315,8.825959295081762e-18,1.0,1.2364116642200667e-43
2.87465215731292e-107,2.4689693548683904e-36,1.0,1.0436548709306066e-65
6.355594779600944e-21,1.780744772321585e-18,1.0,2.411455715191906e-49
2.0726631622409626e-30,9.036045613737604e-06,0.9999909639543862,2.0603763586836907e-24
5.891804671258131e-75,0.9999962239258862,3.7760741172851043e-06,1.800504119562228e-39
3.405329626822178e-41,6.335544631338441e-10,0.9999999993664517,7.700142449638908e-16
7.3034265996883165e-59,7.218981599085737e-29,1.0,1.3329061459358905e-47
2.881888165909423e-45,0.9995818592640964,0.0004181407358984058,1.3897979961610241e-27
1.0291858564999341e-50,3.526413199772601e-10,0.9999999996473576,1.5457185773855122e-38
1.1340553494423615e-67,1.0740325779190912e-06,0.9999989259674263,6.544285474994712e-42
3.579977289009507e-183,0.0074397364536813735,0.992560263546321,7.379716958045707e-67
2.6741689754298025e-54,0.3159340589562179,0.6840659410437875,1.8155476723654543e-28
4.355813763147231e-220,0.9999999999202771,7.972465711134397e-11,1.1569106462349449e-40
6.8899959170534955e-68,0.9999999999959073,4.09143455214837e-12,2.5218853102881526e-38
5.005616139303844e-48,2.2680684840964965e-19,1.0,5.553345385075153e-64
6.287783647554699e-56,2.4318377826452115e-05,0.9999756816221719,1.5661177637003226e-40
3.4158225184936964e-48,7.13654173617082e-22,1.0,3.317083549077345e-54
5.3581683582196364e-77,0.9999998692819304,1.307180762501734e-07,5.373731650707391e-38
1.791719026570596e-230,1.0,2.4767359576819236e-15,8.169341242940725e-43
2.9639127552022894e-37,3.1178522859967517e-38,1.0,1.2174132038563464e-29
1.8890811415374768e-91,0.00017449141423196438,0.999825508585774,1.2524497234485393e-32
8.317044654283075e-142,1.0,5.726910891124421e-15,1.964047658417987e-34
1.4042301522162417e-68,0.9999999949365304,5.063470977073183e-09,1.5804272622572946e-18
1.6692552575147109e-62,0.9841827761079647,0.015817223892039253,7.261861915742885e-33
1.0283636471973724e-198,0.9999916626778814,8.337322124501759e-06,8.074077130476225e-32
1.874931928557573e-70,0.0033841277337602884,0.9966158722662334,6.560926730896412e-38
1.2138637514216643e-44,3.2576863745501517e-09,0.9999999967423179,1.0235868964095113e-53
1.4405162450360839e-58,9.15205268563778e-08,0.9999999084794708,4.633757518472285e-40
1.686521808226196e-54,0.9864136317377347,0.01358636826227179,4.919879123019721e-16
1.1254814997886787e-126,5.067890819722303e-20,1.0,1.3020948341335777e-63
1.2456963577226584e-40,0.8184246197295557,0.18157538027043726,4.4963156100129595e-20
4.8691766580225705e-24,3.9549073480546855e-22,1.0,1.2427494822719646e-41
1.9870063725017656e-42,1.698876604862597e-16,1.0,3.142210530592516e-28
1.0249147871094936e-29,2.7422020984436806e-19,1.0,3.312446051737785e-42
1.9578096763775086e-77,1.0190075920189525e-27,1.0,4.147158955033661e-81
4.95512677266572e-104,1.1837203039854116e-20,1.0,2.5457190744763807e-42
4.28604947447494e-84,1.632831707835991e-06,0.9999983671682856,1.354373228750995e-46
6.038494995786533e-99,0.00030395749185387956,0.9996960425081415,1.3739427074576314e-29
2.778502647921567e-53,0.0006207513073909906,0.9993792486926089,3.0393475305391007e-24
4.774994723454804e-80,5.678948616844377e-13,0.9999999999994316,7.015520899870653e-36
