cluster,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
0,24.32766166045949,9.217143127019824,0.29527116550746585,2.993210856844057,56.8206681262137,1.2362848355522777,6.155276654743809,11.798188323052935,5.171537704267322,11.472447756204678,1.256235245870738,11.797409616887474,8.36750714449443,2.2866803757911467,5.807698953245358,1.5549208630112106,0.9280360557455863,0.9277138033062357,12.852631281382852,7.346693522786385,2.935133773882377,0.5539032771450901,8.92313448955379,5.266418615190426,16.00054942796254,5.445545802259454,23.030148860891664,1.5952752345979844,15.582092610514733,12.657310379927683,0.09333872457531876,3.0897658259233056,4.735478534392834,2.733808070723029,19.086167107773374,6.616009624504427,15.991137893588375,5.704006587753858,37.91460132688193,7.218884130274344,2.980613919152121,1.0600019999230337,7.732338513948185,6.870768483465982,2.552504976844981,9.720611140487199,2.3902367000431295,3.184577890757851,3.5796236140189572,19.27255612878689,58.3222098305888,5.825165810302394,4.2087153435466345,3.720701311908035,1.1114161538030793,11.686089645162065,38.46830285412279,2.321463819540577,2.8424625917700594,4.4950504853902995,2.5881826637711587,8.75071047771209,4.1704343524397265,4.918125800918088,3.530820679935386,8.115262994022213,16.553630875464396,3.4490916574339874,9.151419868487416
1,33.17416596298451,8.442193359292798,1.0206019610816983,4.484247793979958,73.10104365297829,1.4321942649981612,1.8272763622478227,10.415753632969732,9.707684683332552,4.9065460755382535,4.620391453902869,10.606522559548925,8.565683790631473,0.7634231716272202,1.6025140574135828,3.4566082766983164,1.368548229973807,1.2555761908940193,12.64301503364138,7.363337372433344,16.439293197681774,0.8809845988961071,4.383750209940358,5.603688761205219,21.583238408593253,1.6036347994164208,31.99934893055674,4.175088934168967,4.870289602911135,19.36049216147082,2.006099317456668,0.37587850846387044,3.4779586154509454,1.1429574982591646,7.995191306954163,5.399912736084711,10.030936479546758,2.1327292486240417,57.774757388043234,11.76058746449045,5.490929136152838,2.2448703424805485,3.3408250246534905,3.1416031600413485,0.95869217831638,5.246643750265086,1.3929337205192558,1.4785124792038886,2.4978211413229707,21.899470787128603,122.42471081279407,5.576398045050718,3.0833445544283142,6.075008372461763,1.311516401859332,6.185049738518161,38.22922630291642,3.7116263902059647,3.14045520656842,39.47702411839987,12.094812351112113,2.7697326658287076,5.689910564385795,3.530889548405578,3.657396015665433,1.6999329788084738,13.498522338846243,3.3952385029684984,1.0561953434688491
2,31.203556688717775,8.72543291594276,0.29393633422642357,5.1731038924240655,51.94640429427943,5.083214340148715,4.7513990312775185,16.18105739987204,10.796380229206337,19.00746125220149,7.386906801082908,13.426850453732229,7.750172810916611,2.954159197695147,5.652439206558164,1.056635154514714,1.431431614595465,3.3104130761140262,15.127899664375375,6.353528660877669,16.116650329394183,2.8780821952789695,12.947027151284844,29.762342096518214,13.632624373715249,4.672477727224358,25.48412562069616,2.0564898978762463,12.654000870447998,23.923855886825216,1.592039282922101,2.345242413971188,4.827246585943642,5.084764509140478,8.607953649188163,7.114022114472454,20.587976311986065,3.2437540295525147,49.200283016982546,8.280458035038098,4.163349674259313,3.6145692271725425,5.0912548368893225,1.1142132198386718,3.6403548751432986,9.429546904405493,2.9285837539890474,4.947508449477133,4.197718129533389,19.436216685954015,62.086776607279795,4.273275378542095,2.0049422448120913,5.352330100825831,0.6197940900857211,5.975534369486011,55.07412575398979,1.974930519156845,1.506693993650093,25.677631865870275,6.802160638066351,5.910439629561892,4.4110676574501255,6.725651779024514,3.3120581435537684,5.75439564194615,13.980772119298782,7.6510785970377855,4.949429933225559
3,38.27340388317741,9.975965542258955,0.3349261018218551,21.38082775320177,48.59263532191088,1.9078877324880252,3.1691511677886517,9.942321960019392,9.684793056089308,6.1712777160984364,3.5428469062900354,10.172774267920557,5.371091393595264,2.901232190977325,3.5398137470669875,3.3858981879384173,0.9754784720686499,1.1947276804431093,13.60898358261832,6.707938767802105,11.71790449217603,0.9058526779919954,4.400590474075886,14.674587417715347,12.87169928644461,4.595108237799503,25.23873795112252,3.206983282273993,6.67949304839673,22.99701870020724,1.1425133412645214,0.17652172543592815,2.872906505739436,1.3575194837436984,7.183210972791611,5.486950762612691,6.3577700587694626,3.5967861926023685,39.199748297695116,13.876876389525972,4.584429934216162,3.174806364758729,2.907826806593084,1.500466570827764,0.4705291649026363,4.654973119825183,2.6674761551466983,1.3319090672081058,2.060492474763618,18.899972668773973,93.98994430248428,3.6782349533793894,3.823201780649861,4.265483265766589,1.3695658038532255,4.418194126739517,37.36950381387555,6.120867300643507,0.9275386402681872,26.289318614380868,5.152075946357412,5.527634904429009,5.782894828522958,2.323218113348615,2.1225143440768632,1.7774367525691246,13.674042401260838,2.7060558629205524,4.592525842902072
